model,display_name,layer,class_weight,calibrated,roc_auc,precision,recall,f1,average_precision,brier_score,avg_predicted_probability_test,avg_predicted_probability_all
balanced_compact,Balanced Compact Logistic,compact,balanced,False,0.8531711785479705,0.12326227988878591,0.7964071856287425,0.21348314606741572,0.21124317291485006,0.1600936438318995,0.317616383207608,0.31241552940514805
calibrated_compact,Calibrated Compact Logistic,compact,none,True,0.8510342816580316,0.2222222222222222,0.011976047904191617,0.022727272727272728,0.20307396091922023,0.03432316919414506,0.0416308657246301,0.04017715224839191
unweighted_compact,Unweighted Compact Logistic,compact,none,False,0.8545083958988074,0.3684210526315789,0.041916167664670656,0.07526881720430108,0.2108651739428241,0.03437104908347708,0.041887936655239426,0.04027693596249452
balanced_explanatory,Balanced Explanatory Logistic,explanatory,balanced,False,0.8531711785479705,0.12326227988878591,0.7964071856287425,0.21348314606741572,0.21124317291485006,0.1600936438318995,0.317616383207608,0.31241552940514805
calibrated_explanatory,Calibrated Explanatory Logistic,explanatory,none,True,0.8510342816580316,0.2222222222222222,0.011976047904191617,0.022727272727272728,0.20307396091922023,0.03432316919414506,0.0416308657246301,0.04017715224839191
unweighted_explanatory,Unweighted Explanatory Logistic,explanatory,none,False,0.8545083958988074,0.3684210526315789,0.041916167664670656,0.07526881720430108,0.2108651739428241,0.03437104908347708,0.041887936655239426,0.04027693596249452
