variable,coefficient,standard_error,z_stat,p_value,confidence_interval_lower,confidence_interval_upper,significance_5pct,model,task,n_obs,pseudo_r_squared
const,-15.68267549587768,3.135675612631796,-5.001370496584975,5.692419873901678e-07,-21.82848676383657,-9.536864227918791,True,Promotion explanatory Logit,promotion,558,0.13471381041188613
performance_score,0.08681252203822389,0.02592736835048565,3.3482967058088557,0.0008130991012193484,0.035995813857368344,0.1376292302190794,True,Promotion explanatory Logit,promotion,558,0.13471381041188613
tenure_months,0.039593895506482374,0.012087853221758612,3.2755109431021054,0.0010547102813827087,0.015902138541429033,0.06328565247153571,True,Promotion explanatory Logit,promotion,558,0.13471381041188613
promotion_headroom,1.1877334174556888,0.4305906798187879,2.7583816211617513,0.005808834014144782,0.3437911929322467,2.031675641979131,True,Promotion explanatory Logit,promotion,558,0.13471381041188613
years_experience,0.027343792033797828,0.058343585745832816,0.4686683494723472,0.6393067136602248,-0.08700753475695895,0.1416951188245546,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
same_high_school_flag,0.9897851389434532,44.32562718650246,0.02232986201817019,0.9821848283714208,-85.88684773875086,87.86641801663775,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
same_city_flag,0.0005811641967448946,1.2830284125926055,0.0004529628424755931,0.9996385879537302,-2.5141083156263586,2.5152706440198487,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
same_college_flag,-1.0080811152528206,0.5697918214514414,-1.7692095205665057,0.07685891597816123,-2.1248525639831226,0.10869033347748136,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
same_last_name_flag,-0.13406976916736305,0.6171124048792683,-0.21725340166122964,0.8280108698460416,-1.343587857143629,1.0754483188089028,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
family_link_flag,0.026601340871727098,0.47476823576885274,0.05603016138737284,0.9553177795826103,-0.9039273022388454,0.9571299839822995,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
connection_strength,2.1428093185238724,2.3480308198942033,0.9125984635160889,0.36145376271932783,-2.45924652305882,6.744865160106565,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
has_discretionary_channel,0.3801873886983905,44.34461142224785,0.008573474352458733,0.9931594409837721,-86.5336539073309,87.29402868472768,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
discretionary_family_flag,-6.433393665753467,28.95848558650415,-0.22215918876475,0.8241899629007507,-63.19098246212387,50.32419513061693,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
discretionary_referral_flag,1.1857427269975647,44.34381521890266,0.026739754374858392,0.9786673050525031,-85.7265380391508,88.09802349314592,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
discretionary_manager_endorsement_flag,0.4553317301172767,44.33107130186431,0.010271164597326752,0.9918049404387049,-86.43197141761394,87.3426348778485,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
discretionary_alumni_network_flag,0.8614332299732905,44.33215669524771,0.019431340457786342,0.9844970090546149,-86.02799724969846,87.75086370964503,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
discretionary_internal_source_flag,0.610867120077674,44.3300939102548,0.013779964493518999,0.9890055270353308,-86.27452037530011,87.49625461545546,False,Promotion explanatory Logit,promotion,558,0.13471381041188613
